transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
140,11,462,2017-01-01,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
517,77,311,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
561,65,2298,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69
1293,67,1931,2017-01-01,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
1403,0,2891,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9
2008,38,722,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51
2276,22,2843,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
2771,51,3470,2017-01-01,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4
3318,24,2418,2017-01-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78
3460,64,234,2017-01-01,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
3518,58,523,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
3525,50,3490,2017-01-01,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
4239,12,51,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
5323,11,3010,2017-01-01,0.0,Cancelled,Giant Bicycles,Standard,high,medium,1274.93,764.96
5351,53,769,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
5877,67,138,2017-01-01,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
6459,50,1745,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92
7623,46,3053,2017-01-01,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
8252,27,366,2017-01-01,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
8479,50,1099,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92
8543,17,1935,2017-01-01,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8
8886,58,1691,2017-01-01,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51
9303,28,3073,2017-01-01,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36
9363,62,871,2017-01-01,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72
9648,92,3056,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
9986,85,3389,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
10003,85,467,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
11030,32,2488,2017-01-01,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
11282,74,3166,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
11314,4,2068,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1483.2,99.59
11468,27,2686,2017-01-01,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
11676,96,1229,2017-01-01,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77
